Generation:0 population:900 mutation_step:0.01726386085909014500 evaluations:900 fitness:0.00014911070765039810
Generation:1 population:900 mutation_step:0.01521574878136241700 evaluations:928 fitness:0.00001631231708644974
Generation:2 population:900 mutation_step:0.01341061613431780700 evaluations:956 fitness:0.00000000076552758151
Generation:3 population:900 mutation_step:0.01160831517597551600 evaluations:988 fitness:0.00006522435665500055
Generation:4 population:900 mutation_step:0.01027740163593582000 evaluations:1015 fitness:0.00000649942185153011
Generation:5 population:900 mutation_step:0.00889618464842430000 evaluations:1047 fitness:0.01667933471784210600
Generation:6 population:900 mutation_step:0.00787622159402814900 evaluations:1074 fitness:0.01984375551370078000
Generation:7 population:900 mutation_step:0.00706819090788585600 evaluations:1098 fitness:0.00024419499733974203
Generation:8 population:900 mutation_step:0.00614592797385334600 evaluations:1129 fitness:0.00000453306720994202
Generation:9 population:900 mutation_step:0.00546588310820479700 evaluations:1155 fitness:0.00000233307391049822
Generation:10 population:900 mutation_step:0.00486108497848651000 evaluations:1181 fitness:0.00000070544958581382
Generation:11 population:900 mutation_step:0.00426510649751130800 evaluations:1210 fitness:0.00272794456443614270
Generation:12 population:900 mutation_step:0.00370859215266426800 evaluations:1241 fitness:0.00011774880886810812
Generation:13 population:900 mutation_step:0.00325391153558327200 evaluations:1270 fitness:0.01650349212943925300
Generation:14 population:900 mutation_step:0.00286788111224511260 evaluations:1298 fitness:0.00005474363642508309
Generation:15 population:900 mutation_step:0.00249367780003906070 evaluations:1329 fitness:0.01528568449137988400
Generation:16 population:900 mutation_step:0.00223784850934069500 evaluations:1353 fitness:0.11436896344291475000
Generation:17 population:900 mutation_step:0.00196348392588822900 evaluations:1382 fitness:0.00336972957403078400
Generation:18 population:900 mutation_step:0.00173836707619902900 evaluations:1409 fitness:0.00011607791155685553
Generation:19 population:900 mutation_step:0.00156002598655608320 evaluations:1433 fitness:0.00004158520398568222
Generation:20 population:900 mutation_step:0.00139368120062037600 evaluations:1458 fitness:0.00093089811403698980
Generation:21 population:900 mutation_step:0.00123389322516608650 evaluations:1485 fitness:0.04383066559284387600
Generation:22 population:900 mutation_step:0.00106806587465994040 evaluations:1517 fitness:0.13723582192683517000
Generation:23 population:900 mutation_step:0.00092036429752945910 evaluations:1550 fitness:0.05779225116838541000
Generation:24 population:900 mutation_step:0.00080027446287724590 evaluations:1581 fitness:0.10413560447662004000
Generation:25 population:900 mutation_step:0.00070533325556017460 evaluations:1609 fitness:0.39486627316311257000
Generation:26 population:900 mutation_step:0.00061054098131158690 evaluations:1641 fitness:0.44568360613549430000
