% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.203982584e+01 +1.203982584e+01 +1.890982584e+01 +1.890982584e+01 +4.6176e-01 -5.8457e-01 +9.3551e-01 +9.2741e-01 +8.9439e-01 -2.0565e-01 -4.1189e-01 -7.6807e-01 +3.1979e-01 -2.4360e-01
6 +5.325264109e+00 +5.325264109e+00 +1.219526411e+01 +1.219526411e+01 +3.5987e-01 +2.0797e-01 -2.9235e-01 -4.1581e-01 +4.8850e-01 -2.4838e-01 +4.5965e-01 -9.1259e-01 +7.2490e-01 -8.7502e-01
133 +3.094357346e+00 +3.094357346e+00 +9.964357346e+00 +9.964357346e+00 -9.7943e-01 -1.2823e-01 +1.3024e-01 +8.3141e-01 +3.3110e-01 +3.7352e-01 -7.5759e-01 +5.9920e-01 +2.9232e-01 +2.1563e-01
2164 +2.284801018e+00 +2.284801018e+00 +9.154801018e+00 +9.154801018e+00 +7.9855e-01 -1.8429e+00 -1.0397e+00 +4.6386e-01 +1.6541e+00 -1.9633e-01 -4.8145e-01 +3.0025e-01 -2.4820e-01 +7.4885e-02
27261 +1.416562769e+00 +1.416562769e+00 +8.286562769e+00 +8.286562769e+00 +8.4916e-01 +5.5078e+00 +1.2161e+00 +1.2175e-01 -1.4319e+00 -1.4689e+00 -3.3610e+00 -2.1927e+00 +6.2383e-01 -9.9858e-01
34081 +9.818854024e-01 +9.818854024e-01 +7.851885402e+00 +7.851885402e+00 -2.5212e+00 -3.4587e+00 -9.0092e-01 +3.4073e-01 -4.7441e+00 +3.6899e+00 -2.2332e+00 -9.7712e-01 +1.0772e+00 +9.7060e-01
34764 +6.201624787e-01 +6.201624787e-01 +7.490162479e+00 +7.490162479e+00 -2.5123e+00 -3.4759e+00 -9.0952e-01 +3.3988e-01 -4.7486e+00 +3.6765e+00 -2.2249e+00 -9.7003e-01 +1.0509e+00 +9.7520e-01
36492 +3.365958414e-01 +3.365958414e-01 +7.206595841e+00 +7.206595841e+00 -2.5117e+00 -3.4613e+00 -9.1972e-01 +3.3943e-01 -4.7483e+00 +3.6799e+00 -2.2300e+00 -9.6014e-01 +1.0597e+00 +9.7997e-01
37333 +2.454162110e-01 +2.454162110e-01 +7.115416211e+00 +7.115416211e+00 -2.5185e+00 -3.4592e+00 -9.1884e-01 +3.3747e-01 -4.7617e+00 +3.6794e+00 -2.2343e+00 -9.6273e-01 +1.0619e+00 +9.7463e-01
52360 +1.462477425e-01 +1.462477425e-01 +7.016247742e+00 +7.016247742e+00 -2.5101e+00 -3.4589e+00 -9.2245e-01 +3.3422e-01 -4.7667e+00 +3.6744e+00 -2.2310e+00 -9.6290e-01 +1.0667e+00 +9.8286e-01
85805 +9.679036683e-02 +9.679036683e-02 +6.966790367e+00 +6.966790367e+00 -2.5101e+00 -3.4696e+00 -9.1840e-01 +3.3417e-01 -4.7800e+00 +3.6798e+00 -2.2230e+00 -9.8298e-01 +1.0552e+00 +9.8178e-01
108344 +5.803299151e-02 +5.803299151e-02 +6.928032992e+00 +6.928032992e+00 -2.5092e+00 -3.4697e+00 -9.1872e-01 +3.3491e-01 -4.7797e+00 +3.6765e+00 -2.2236e+00 -9.8279e-01 +1.0564e+00 +9.8308e-01
125745 +2.588331720e-02 +2.588331720e-02 +6.895883317e+00 +6.895883317e+00 -2.5083e+00 -3.4661e+00 -9.2032e-01 +3.3300e-01 -4.7830e+00 +3.6755e+00 -2.2267e+00 -9.8122e-01 +1.0602e+00 +9.8405e-01
146052 +2.030907111e-02 +2.030907111e-02 +6.890309071e+00 +6.890309071e+00 -2.5091e+00 -3.4649e+00 -9.2000e-01 +3.3308e-01 -4.7808e+00 +3.6749e+00 -2.2275e+00 -9.7914e-01 +1.0611e+00 +9.8371e-01
167929 +1.432680390e-02 +1.432680390e-02 +6.884326804e+00 +6.884326804e+00 -2.5086e+00 -3.4658e+00 -9.1989e-01 +3.3305e-01 -4.7810e+00 +3.6743e+00 -2.2273e+00 -9.8027e-01 +1.0599e+00 +9.8417e-01
191164 +9.964793101e-03 +9.964793101e-03 +6.879964793e+00 +6.879964793e+00 -2.5083e+00 -3.4662e+00 -9.1990e-01 +3.3319e-01 -4.7813e+00 +3.6752e+00 -2.2265e+00 -9.8089e-01 +1.0599e+00 +9.8411e-01
202017 +6.207040013e-03 +6.207040013e-03 +6.876207040e+00 +6.876207040e+00 -2.5082e+00 -3.4670e+00 -9.2007e-01 +3.3337e-01 -4.7819e+00 +3.6758e+00 -2.2256e+00 -9.8167e-01 +1.0593e+00 +9.8406e-01
219525 +3.949185382e-03 +3.949185382e-03 +6.873949185e+00 +6.873949185e+00 -2.5086e+00 -3.4651e+00 -9.1985e-01 +3.3282e-01 -4.7812e+00 +3.6745e+00 -2.2276e+00 -9.7982e-01 +1.0605e+00 +9.8406e-01
232184 +2.420191946e-03 +2.420191946e-03 +6.872420192e+00 +6.872420192e+00 -2.5086e+00 -3.4654e+00 -9.1985e-01 +3.3288e-01 -4.7815e+00 +3.6747e+00 -2.2273e+00 -9.8030e-01 +1.0602e+00 +9.8406e-01
268509 +1.547485638e-03 +1.547485638e-03 +6.871547486e+00 +6.871547486e+00 -2.5086e+00 -3.4654e+00 -9.1981e-01 +3.3289e-01 -4.7815e+00 +3.6746e+00 -2.2273e+00 -9.8029e-01 +1.0602e+00 +9.8404e-01
302428 +9.653567196e-04 +9.653567196e-04 +6.870965357e+00 +6.870965357e+00 -2.5086e+00 -3.4655e+00 -9.1984e-01 +3.3292e-01 -4.7815e+00 +3.6747e+00 -2.2272e+00 -9.8040e-01 +1.0601e+00 +9.8407e-01
315233 +6.287182454e-04 +6.287182454e-04 +6.870628718e+00 +6.870628718e+00 -2.5086e+00 -3.4655e+00 -9.1984e-01 +3.3292e-01 -4.7815e+00 +3.6747e+00 -2.2272e+00 -9.8037e-01 +1.0601e+00 +9.8406e-01
332469 +3.944419052e-04 +3.944419052e-04 +6.870394442e+00 +6.870394442e+00 -2.5086e+00 -3.4655e+00 -9.1985e-01 +3.3292e-01 -4.7815e+00 +3.6748e+00 -2.2272e+00 -9.8037e-01 +1.0601e+00 +9.8405e-01
344804 +2.494442054e-04 +2.494442054e-04 +6.870249444e+00 +6.870249444e+00 -2.5086e+00 -3.4655e+00 -9.1984e-01 +3.3292e-01 -4.7815e+00 +3.6747e+00 -2.2272e+00 -9.8034e-01 +1.0601e+00 +9.8404e-01
352616 +1.407216110e-04 +1.407216110e-04 +6.870140722e+00 +6.870140722e+00 -2.5086e+00 -3.4655e+00 -9.1984e-01 +3.3292e-01 -4.7815e+00 +3.6747e+00 -2.2272e+00 -9.8035e-01 +1.0601e+00 +9.8405e-01
368645 +9.748057765e-05 +9.748057765e-05 +6.870097481e+00 +6.870097481e+00 -2.5086e+00 -3.4655e+00 -9.1984e-01 +3.3292e-01 -4.7815e+00 +3.6747e+00 -2.2272e+00 -9.8035e-01 +1.0601e+00 +9.8405e-01
